regularizer,lr,batch_size,val_loss,final_train_loss,final_test_loss
0.0008146688495693462,0.143032610223843,6,5.564749717712402,,
0.004852401686371236,0.16107397123718864,10,14.037558555603027,,
0.014056062134711228,0.13902736854643097,50,16.414718627929688,,
0.02886469201627188,0.17085687500325325,49,34.88548278808594,,
0.003047676034076883,0.23424659923626898,24,48.69796371459961,,
0.00011867354047346704,0.849778306698285,19,62.4349250793457,,
0.003928921915290968,0.3275954309832283,32,89.96212768554688,,
0.049318910363605445,0.3704294781109229,62,864.4420166015625,,
0.04864130850723341,0.4402709879797779,23,1887.3857421875,,
0.013574316463653655,0.5101112236585127,23,1995.064697265625,,
0.00010136160584869922,0.7130634869601995,45,1804572.125,,
