n_centers,gamma,optimizer,learning_rate,batch_size,test_loss,val_loss,test_mse
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.8173272609710693,0.9464918375015259,0.8173272087548528
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,0.8239697813987732,0.9166831374168396,0.8239697816634767
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.2640511393547058,0.37105339765548706,0.26405112322990915
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.3931838572025299,0.4606395959854126,0.39318386485531787
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.3893842399120331,0.5080686807632446,0.38938419653372774
20,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,1.1146531105041504,1.2442233562469482,1.1146531698995148
20,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,0.9109011292457581,1.0332343578338623,0.9109011463441071
20,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,0.7864300608634949,0.993039071559906,0.7864300734859179
20,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.9290847182273865,1.0773580074310303,0.9290847081213931
20,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.9254524111747742,1.046439528465271,0.9254524328134645
20,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.8687480092048645,0.9812046885490417,0.8687479817552024
